Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
SACA	Eng	Spn	O	Incorrect
de	Spn	Spn	O	Correct
onda	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
humishen	NonStSpn	Eng	O	NA
,	Punct	Punct	O	NA
Joey	NamedEnt	Eng	PERSON/PERS	Correct
sabe	Spn	Spn	O	Correct
ehto	NonStSpn	Spn	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
cómo	Spn	Spn	O	Correct
sigo	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
piyama	Spn	Spn	O	Correct
?	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
ahora	Spn	Spn	O	Correct
rehearsing	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
speech	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
madre	Spn	Spn	O	Correct
concerned	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
calm	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
NORMAL	Eng	Eng	O	Correct
(	Punct	Punct	O	NA
I’m	Eng	Eng	O/ORG	Correct
worried	Eng	Eng	O/ORG	Correct
about	Eng	Eng	O/ORG	Correct
being	Eng	Eng	O/ORG	Correct
“	Punct	Punct	O	NA
normal	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
living	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
Villa	NamedEnt	Spn	O/PERS	Correct
Freud	NamedEnt	Eng	O/PERS	Correct
"	Punct	Punct	O	NA
?	Punct	Punct	O	NA
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
ante	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Rectora	NamedEnt	Spn	O/ORG	Correct
eh	Spn	Spn	O	Correct
ah	Spn	Eng	O	Incorrect
,	Punct	Punct	O	NA
soy	Spn	Spn	O	Correct
ehcritora	NonStSpn	Spn	O	NA
como	Spn	Spn	O	Correct
Ud	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
sabe	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
trabajo	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
casa	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
perdone	Spn	Spn	O	Correct
mi	Spn	Spn	O	Correct
tardanza	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
ni	Spn	Spn	O	Correct
siquiera	Spn	Spn	O	Correct
ehtuve	NonStSpn	Spn	O	NA
vehtida	NonStSpn	Spn	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
Oh	Eng	Eng	O	Correct
god	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
(	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
step-daddy	Eng	Eng	O	Correct
suele	Spn	Spn	O	Correct
ocuparse	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
this	Eng	Eng	O	Correct
year	Eng	Eng	O	Correct
at	Eng	Eng	O	Correct
least	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
aquí	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
Buenos	NamedEnt	Spn	LOCATION/LUG	Correct
Aires	NamedEnt	Spn	LOCATION/LUG	Correct
,	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
estos	Spn	Spn	O	Correct
asuntos	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
Juvenil	Spn	Spn	PERSON/OTROS	Correct
tipo	Spn	Spn	O	Correct
colegio	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
he’s	Eng	Eng	O	Correct
out	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
ay	Spn	Spn	O	Correct
he’s	Eng	Eng	O	Correct
out	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
where	Eng	Eng	O	Correct
are	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
tetanus	Eng	Eng	O	Correct
shot	Eng	Eng	O	Correct
medical	Eng	Eng	O	Correct
records	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Has	Eng	Eng	O	Correct
he	Eng	Eng	O	Correct
or	Eng	Eng	O	Correct
hasn’t	Eng	Eng	O	Correct
he	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Mind	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
blank	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
qué	Spn	Spn	O	Correct
digo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
me	Spn	Spn	O	Correct
muero	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
vergüenza	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
rabia	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
otra	Spn	Spn	O	Correct
vez	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
famosa	Spn	Spn	O	Correct
temper	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
mí	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
gusta	Spn	Spn	O	Correct
achacársela	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
padre	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
digo	Spn	Spn	O	Correct
al	Spn	Spn	O	Correct
bio-dad	NonStEng	Spn	O	NA
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
claro	Spn	Spn	O	Correct
hay	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
reconocer	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
también	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
claro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
soy	Spn	Spn	O	Correct
fogosísima	Spn	Spn	O	Correct
como	Spn	Spn	O	Correct
dicen	Spn	Spn	O	Correct
aquí	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
arrabio	Spn	Spn	O	Correct
pero	Spn	Spn	O	Correct
eso	Spn	Spn	O	Correct
sí	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
me	Spn	Spn	O	Correct
calmo	Spn	Spn	O	Correct
al	Spn	Spn	O	Correct
tiro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
NUNCA	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
pongo	Spn	Spn	O	Correct
violenta	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
ni	Spn	Spn	O	Correct
pego	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
ni	Spn	Spn	O	Correct
tiro	Spn	Spn	O	Correct
and	Eng	Eng	O	Correct
I	Eng	Eng	O/OTROS	Correct
NEVER	Eng	Eng	O/OTROS	Correct
NEVER	Eng	Eng	O/OTROS	Correct
hold	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
grudge	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Bueno	Spn	Spn	PERSON/O	Correct
me	Spn	Spn	O	Correct
visto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
un	Spn	Spn	O	Correct
poco	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
Estée	NamedEnt	Spn	O/ORG	Correct
Lauder	NamedEnt	Eng	O/ORG	Correct
“	Punct	Punct	O	NA
Candied	NamedEnt	Eng	O/ORG	Correct
Fig	NamedEnt	Eng	O/ORG	Correct
"	Punct	Punct	O	NA
lipstick	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
holdover	Eng	Eng	O	Correct
color	Eng	Eng	O	Correct
from	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
80s	Num	Spn	O	NA
que	Spn	Spn	O	Correct
hicieron	Spn	Spn	O	Correct
relaunch	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
few	Eng	Eng	O	Correct
years	Eng	Eng	O	Correct
ago	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
fijate	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
primero	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
había	Spn	Spn	O	Correct
comprado	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
Macy’s	NamedEnt	Spn	LOCATION/O	Correct
de	Spn	Spn	LOCATION/O	Correct
Union	NamedEnt	Eng	LOCATION/OTROS	Correct
Square	NamedEnt	Eng	LOCATION/OTROS	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
San	NamedEnt	Spn	LOCATION/LUG	Correct
Francisco	NamedEnt	Spn	LOCATION/LUG	Correct
,	Punct	Punct	O	NA
me	Spn	Spn	O	Correct
acuerdo	Spn	Spn	O	Correct
(	Punct	Punct	O	NA
la	Spn	Spn	O	Correct
misma	Spn	Spn	O	Correct
época	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
bewitching	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
emblemático	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
7e	NamedEnt	Spn	O/ORG	Correct
Sens	NamedEnt	Eng	O/ORG	Correct
"	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
Rykiel	NamedEnt	Spn	O/PERS	Correct
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
luego	Spn	Spn	O	Correct
I	Eng	Eng	O/ORG	Correct
replaced	Eng	Eng	O/ORG	Correct
it	Eng	Eng	O/ORG	Correct
en	Spn	Spn	O	Correct
esa	Spn	Spn	O	Correct
hermosa	Spn	Spn	O	Correct
farmacia	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
Zurich	NamedEnt	Eng	LOCATION/LUG	Correct
,	Punct	Punct	O	NA
con	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
Rudi	NamedEnt	Eng	PERSON/PERS	Correct
Haas	NamedEnt	Eng	PERSON/PERS	Correct
.	Punct	Punct	O	NA
Anyway	Eng	Eng	O/PERS	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O/ORG	Correct
lance	Eng	Eng	O/ORG	Correct
myself	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
salgo	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
calle	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
camino	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
behind	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
Calvin	NamedEnt	Eng	PERSON/PERS	Correct
Klein	NamedEnt	Eng	PERSON/PERS	Correct
subtly	Eng	Eng	O	Correct
Jackie-O	NamedEnt	Eng	O	Incorrect
gafas	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
sol	Spn	Spn	O	Correct
pienso	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
“	Punct	Punct	O	NA
I	Eng	Eng	O/ORG	Correct
look	Eng	Eng	O/ORG	Correct
pretty	Eng	Eng	O/ORG	Correct
good	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
pienso	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
Pablo	NamedEnt	Spn	PERSON/PERS	Correct
Zambrano	NamedEnt	Spn	PERSON/PERS	Correct
,	Punct	Punct	O	NA
in	Eng	Eng	O	Correct
our	Eng	Eng	O	Correct
cultivated	Eng	Eng	O	Correct
myopia	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
how	Eng	Eng	O	Correct
damn	Eng	Eng	O	Correct
FINE	Eng	Eng	O/ORG	Correct
the	Eng	Eng	O/ORG	Correct
world	Eng	Eng	O/ORG	Correct
looks	Eng	Eng	O	Correct
sin	Spn	Spn	O	Correct
receta	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
now	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
everything	Eng	Eng	O	Correct
too	Eng	Eng	O	Correct
sharp	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
ay	Spn	Spn	O	Correct
las	Spn	Spn	O	Correct
arihtas	NonStSpn	Spn	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
Shego	NonStSpn	Spn	O/PERS	NA
al	Spn	Spn	O	Correct
Colegio	Spn	Spn	O/ORG	Correct
me	Spn	Spn	O	Correct
siento	Spn	Spn	O	Correct
como	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
niña	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
como	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
colegiala	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
They	Eng	Eng	O/PERS	Correct
buzz	Eng	Eng	O/PERS	Correct
me	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
una	Spn	Spn	O	Correct
recepcionihta	NonStSpn	Spn	O	NA
takes	Eng	Eng	O	Correct
pity	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
me	Eng	Spn	O	Incorrect
y	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
sube	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
Rectoría	Spn	Spn	O/ORG	Correct
,	Punct	Punct	O	NA
tercer	Spn	Spn	O	Correct
piso	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
past	Eng	Eng	O/ORG	Correct
shrieking	Eng	Eng	O/ORG	Correct
forest-green	Eng	Eng	O/ORG	Correct
sweatered	Eng	Eng	O/ORG	Correct
kids	Eng	Eng	O/ORG	Correct
mirándome	Spn	Spn	O/ORG	Correct
y	Spn	Spn	O	Correct
algún	Spn	Spn	O	Correct
murmusho	NonStSpn	Spn	O	NA
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
juro	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
allí	Spn	Spn	O	Correct
va	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
Joey	NamedEnt	Eng	PERSON/PERS	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
Entro	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
veo	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Rectora	Spn	Spn	O/LUG	Correct
,	Punct	Punct	O	NA
una	Spn	Spn	O	Correct
cool	Eng	Eng	O	Correct
beige-y	NonStEng	Eng	O	NA
bottle	Eng	Eng	O	Correct
blonde	Eng	Spn	O	Incorrect
(	Punct	Punct	O	NA
of	Eng	Eng	O	Correct
course	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
still	Eng	Eng	O	Correct
con	Spn	Spn	O	Correct
ese	Spn	Spn	O	Correct
semi-incongruente	Spn	Spn	O	Correct
(	Punct	Punct	O	NA
sha	NonStSpn	Eng	O	NA
es	Spn	Spn	O	Correct
invierno	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
no	Spn	Spn	O	Correct
jodas	Spn	Spn	O	Correct
!	Punct	Punct	O	NA
)	Punct	Punct	O	NA
hideous	Eng	Eng	O	Correct
orangey	NonStEng	Eng	O	NA
bronceado	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
usan	Spn	Spn	O	Correct
tantas	Spn	Spn	O	Correct
porteñas	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
besa	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
veo	Spn	Spn	O	Correct
al	Spn	Spn	O	Correct
Juvenil	NamedEnt	Eng	PERSON/OTROS	Correct
and	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
heart	Eng	Eng	O/ORG	Correct
is	Eng	Eng	O/ORG	Correct
in	Eng	Eng	O/ORG	Correct
my	Eng	Eng	O/ORG	Correct
throat	Eng	Eng	O/ORG	Correct
y	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
ve	Spn	Eng	O	Incorrect
un	Spn	Spn	O	Correct
poquitín	Spn	Spn	O	Correct
alicaído	Spn	Spn	O	Correct
eso	Spn	Spn	O	Correct
sí	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
e	Spn	Spn	O	Correct
intenta	Spn	Spn	O	Correct
susurrarme	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
inglés	Spn	Spn	O	Correct
let	Eng	Eng	O/ORG	Correct
me	Eng	Eng	O/ORG	Correct
tell	Eng	Eng	O/ORG	Correct
you	Eng	Eng	O/ORG	Correct
what	Eng	Eng	O/ORG	Correct
happened	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
OK	NonStEng	Eng	O	NA
,	Punct	Punct	O	NA
mama	Eng	Spn	O	Incorrect
?	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
callate	Spn	Spn	O	Correct
voh	NonStSpn	Eng	O	NA
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
noBLOOD/	EngNoSpace	Spn	O	NA
quiero	Spn	Spn	O	Correct
ehcuchar	NonStSpn	Spn	O	NA
NADA	Spn	Spn	ORGANIZATION/O	Correct
de	Spn	Spn	O	Correct
ti	Spn	Spn	O	Correct
ahora	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Rectora	Spn	Spn	O/ORG	Correct
entona	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
Joey	NamedEnt	Eng	PERSON/PERS	Correct
es	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
buen	Spn	Spn	O	Correct
chico	Spn	Spn	O	Correct
pero	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
algunas	Spn	Spn	O	Correct
cosas	Spn	Spn	O	Correct
todavía	Spn	Spn	O	Correct
sigue	Spn	Spn	O	Correct
siendo	Spn	Spn	O	Correct
muuuy	NonStSpn	Spn	O	NA
niño	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
nodding	Eng	Eng	O	Correct
politely	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Ehhh	Spn	Spn	O/PERS	Correct
,	Punct	Punct	O	NA
sabés	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
hay	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
grupito	NonStSpn	Spn	O	NA
de	Spn	Spn	O	Correct
chicos	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
poco	Spn	Spn	O	Correct
más	Spn	Spn	O	Correct
jóvenes	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
le	Spn	Spn	O	Correct
vienen	Spn	Spn	O	Correct
molestando	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
calling	Eng	Eng	O/ORG	Correct
him	Eng	Eng	O/ORG	Correct
“	Punct	Punct	O	NA
shanki	NonStSpn	Eng	O/ORG	NA
"	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
pulling	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
his	Eng	Eng	O/ORG	Correct
jacket	Eng	Eng	O/ORG	Correct
(	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
forro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
he	Eng	Eng	O	Correct
whispers	Eng	Eng	O	Correct
under	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
breath	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
they	Eng	Eng	O	Correct
call	Eng	Eng	O	Correct
me	Eng	Spn	O	Incorrect
forro	Spn	Spn	O	Correct
)	Punct	Punct	O	NA
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
it’s	Eng	Eng	O	Correct
me	Eng	Eng	O	Correct
back	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
scared	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
Colegio	NamedEnt	Spn	ORGANIZATION/ORG	Correct
Estudio	NamedEnt	Spn	ORGANIZATION/ORG	Correct
en	Spn	Spn	O	Correct
Madrith	NonStSpn	Eng	PERSON/LUG	NA
,	Punct	Punct	O	NA
I’m	Eng	Eng	O	Correct
4	Num	Num	O	NA
years	Eng	Eng	O	Correct
old	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
asthmatic	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
no	Spn	Spn	O	Correct
puedo	Spn	Spn	O	Correct
respirar	Spn	Spn	O	Correct
and	Eng	Eng	O	Correct
I’m	Eng	Eng	O/ORG	Correct
wheezing	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
I’m	Eng	Eng	O/ORG	Correct
wheezing	Eng	Eng	O/ORG	Correct
y	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
otros	Spn	Spn	O	Correct
niños	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
peshihcan	NonStSpn	Spn	O	NA
por	Spn	Spn	O	Correct
ser	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
por	Spn	Spn	O	Correct
ser	Spn	Spn	O	Correct
extranjera	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
skinny	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
shy	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
pigeon-toed	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
pathetic	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
tengo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
agarrar	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
mano	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
maestra	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
with	Eng	Eng	O	Correct
all	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
might	Eng	Eng	O	Correct
hold	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
hand	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
subir	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
al	Spn	Spn	O	Correct
ático	Spn	Spn	O	Correct
where	Eng	Eng	O	Correct
she	Eng	Eng	O/ORG	Correct
keeps	Eng	Eng	O/ORG	Correct
that	Eng	Eng	O/ORG	Correct
wonderful	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
banana-smelling	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
pungent	Eng	Eng	O	Correct
rubbing	Eng	Eng	O	Correct
alcohol	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
frota	Spn	Spn	O	Correct
frota	Spn	Spn	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
kids	Eng	Eng	O	Correct
’	Punct	Punct	O	NA
knees	Eng	Eng	O	Correct
cuando	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
caen	Spn	Spn	O	Correct
and	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
scrape	Eng	Eng	O	Correct
themselves	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Yo	Spn	Spn	O	Correct
nunca	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
caigo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
bueno	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
sólo	Spn	Spn	O	Correct
si	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
empujan	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Siempre	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
mano	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
maestra	Spn	Spn	O	Correct
and	Eng	Eng	O	Correct
clinging	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
fence	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
shrieking	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
Daddy	NamedEnt	Eng	O/PERS	Correct
to	Eng	Eng	O	Correct
take	Eng	Eng	O	Correct
me	Eng	Eng	O	Correct
back	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
take	Eng	Eng	O	Correct
me	Eng	Eng	O	Correct
home	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
puede	Spn	Spn	O	Correct
shevar	NonStSpn	Spn	O	NA
al	Spn	Spn	O	Correct
cole	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
hace	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
lleve	Spn	Spn	O	Correct
porque	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
aguanta	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
no	Spn	Spn	O	Correct
puede	Spn	Spn	O	Correct
ver	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
hyper-sensitive	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
socially	Eng	Eng	O	Correct
maladapted	Eng	Eng	O	Correct
oldest	Eng	Eng	O	Correct
daughter	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
much	Eng	Eng	O	Correct
pain	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
como	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
digo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
sigue	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Rectora	NamedEnt	Spn	O/ORG	Correct
creo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
Sho-ey	NamedEnt	Eng	O	Incorrect
debería	Spn	Spn	O	Correct
pagar	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
reparación	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
puerta	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
sus	Spn	Spn	O	Correct
ahorros	Spn	Spn	O	Correct
;	Punct	Punct	O	NA
recibe	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
mensualidad	Spn	Spn	O	Correct
?	Spn	Punct	O	Incorrect
Like	Eng	Eng	O/PERS	Correct
in	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
dream	Eng	Eng	O	Correct
le	Spn	Spn	O	Correct
asiento	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
sí	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
claro	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
I	Eng	Eng	O/OTROS	Correct
muse	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
